Hash,Merge timestamp,Has conflict?,Chunks,TODO,FIXME,HACK,XXX,DONE,UNDONE,ASAP,REMOVE,NOTE,BUG,ISSUE,ERROR,BRKEN,GLITCH,REVIEW,WTF,FUTURE
c4526c33027509435a335b40a7a8770a6c89dbf0,2018-08-24 21:29:08 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a2d3d05bfae74a948368dfb78774a838e2fccdde,2018-04-18 08:04:48 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304a0e82827d0f91132d476c5df085d46036a5de,2018-04-01 16:53:16 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d0c696bb2bc58758eb4a4579f564ba5dcacd0d43,2018-03-27 20:06:34 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f01115a4154c08c51b34699c44269d3ecbfe8af,2018-03-07 21:04:09 -0500,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c66e9e2f714fce4ec202906b289fc2859de8999,2018-03-07 20:43:13 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6dc60285eccb88d67e611e88cd72fe057256b13,2018-02-09 10:05:34 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7b282e58a0aa0b4ccace86404894b2505df06176,2018-02-09 08:32:35 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b7d8c49dc8512181f73dab67aec6f5fdebce5486,2017-12-30 10:48:34 -0500,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82fc0f2713ed015ee77f91af5f6bb40a3c267fa8,2017-12-03 09:08:49 -0500,YES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1dc48821835c8c90dcf69d62a5f8d4cc14c7773b,2017-09-20 13:03:49 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d27e4734d53cd9596fb38c423227c09a037e8562,2017-09-20 12:47:21 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94e280e430a85512ba1b6ccc4348c0300f1da512,2017-09-19 11:11:40 -0400,YES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2da0e252c7df7c2db25b236b2e5809be9f3dc299,2017-09-19 10:47:26 -0400,YES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf56c0ba0427cd9275dbffebe5800ea92b41076e,2017-09-18 21:02:03 -0400,YES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33dbc18a10831b59f5e9991a7a3f47494ad2cd11,2017-09-17 12:12:12 -0400,YES,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
